accelX,accelY,accelZ,gyroX,gyroY,gyroZ
0.165, 0.912, 1.045, -80.244, 106.145, 10.687
-0.295, 0.83, 0.9, 212.794, -94.382, 3.748
-0.443, 0.295, 1.066, 65.885, 43.107, 17.191
-0.293, 0.229, 1.327, 70.679, 3.221, -2.969
0.095, 0.679, 1.145, -32.565, 70.901, -6.832
-0.153, 0.508, 1.041, 59.588, 46.985, -4.611
-0.182, 0.782, 1.0, -37.481, 2.458, 10.626
-0.346, 0.785, 0.448, 39.137, 108.244, 12.893
-0.496, 0.717, 0.207, 34.679, 250.13, -0.069
-0.901, 0.25, 0.563, 60.176, -28.053, -16.038
-0.42, 0.553, 0.894, 77.87, 204.733, 9.649
-0.938, 0.281, 0.622, 20.481, 56.481, -15.756
-0.95, 0.06, 0.053, 35.13, -12.534, -1.336
0.263, 0.653, 1.024, 1.382, 14.809, 7.977
0.322, 0.708, 1.073, 16.13, 76.42, 13.031
-0.058, 0.483, 1.191, 62.336, 48.298, 3.504
-1.03, 0.213, 0.521, 17.466, -233.359, -7.786
-0.706, 0.458, 0.482, 32.969, -6.321, -18.481
-0.709, 0.22, 1.119, 36.443, -136.366, -7.87
-0.754, 0.179, -0.165, -34.031, -46.817, -15.756
-0.681, 0.158, 1.065, 16.397, -30.863, -17.779
-0.651, 0.227, 0.872, -61.519, -132.206, 13.557
-0.532, 0.174, 0.941, 32.603, 197.74, 16.015
-0.746, 0.102, 0.561, 34.237, 202.58, -15.008
-0.915, -0.106, 0.533, 86.282, -138.267, -16.092
-0.649, -0.148, 0.129, 19.374, 167.221, -20.893
-0.741, -0.033, 0.431, -18.099, 204.244, 10.58
-0.493, 0.125, 1.399, -77.565, 108.397, -20.229
-0.837, -0.023, 0.976, -37.847, 19.099, -6.046
-0.99, -0.055, -0.023, 52.992, 29.031, -0.718
-0.917, -0.287, 0.346, 90.313, -68.664, 6.145
-0.177, 0.254, 1.368, -0.71, 73.664, 14.359
-0.613, -0.51, 1.017, 82.359, -80.473, 3.496
-0.21, 0.228, 1.263, 110.557, 145.649, 19.84
-0.816, -0.642, 0.513, 120.29, -120.901, -12.473
-0.59, 0.172, 1.042, -2.489, 2.221, 9.122
-0.763, -0.186, 0.696, 25.229, 77.672, -3.595
-0.326, 0.24, 1.44, -104.16, 24.183, -13.145
-0.719, -0.046, 0.977, 36.191, -7.931, -19.351
-0.393, 0.301, 1.229, -3.481, 3.244, 6.893
-0.315, 0.451, 0.99, 16.565, 20.595, 9.901
-0.313, 0.206, 1.452, 11.275, 3.13, -19.504
-0.331, 0.263, 1.176, 7.0, 54.42, -14.168
-0.241, 0.32, 1.094, 18.214, 89.725, 5.511
-0.479, 0.291, 1.09, -19.084, 123.237, -5.74
-0.796, -0.241, 0.861, 106.153, -81.779, 8.916
-0.33, -0.052, 1.308, 20.397, 32.786, 9.191
-0.402, 0.211, 1.035, 3.855, 7.809, 13.985
-0.915, -0.164, 0.797, -16.298, 48.45, 14.55
-0.247, 0.134, 1.307, 17.405, 57.282, -2.336
-0.538, 0.09, 1.182, 67.351, -21.87, 11.267
-0.328, 0.218, 1.13, -4.053, 28.863, 16.115
-0.534, 0.069, 1.23, 7.321, 1.328, 19.573
-0.433, 0.024, 1.27, -24.16, -0.58, 17.786
-0.559, -0.29, 1.265, 37.321, 20.786, -10.489
-0.273, 0.493, 1.056, -14.084, -36.458, 13.42
-0.655, -0.105, 1.025, 78.809, -76.344, 20.313
-0.677, -0.284, 0.852, 39.565, 36.466, -6.221
-0.327, -0.136, 1.306, 69.489, -44.45, -10.573
-0.075, 0.385, 1.405, -41.198, 108.534, 9.618
-0.782, -0.019, 0.824, 115.382, -13.0, -21.588
-0.57, 0.596, 0.918, -47.244, 76.893, 5.809
-0.679, -0.132, 0.997, -87.076, 120.802, 11.87
-0.333, 0.171, 1.204, -87.29, 155.099, -6.527
-0.816, -0.221, 0.882, 24.939, -29.069, 7.55
-0.916, -0.01, 0.95, 169.924, -39.664, 5.099
-0.598, 0.283, 0.968, 40.534, -32.359, -18.084
-0.042, 0.825, 0.996, -33.29, 63.252, 10.802
-0.518, 0.152, 1.125, 11.489, 1.55, -7.74
-0.466, 0.284, 1.106, -10.931, 19.58, 8.794
-0.439, 0.368, 1.087, 5.931, 2.664, 15.046
-0.425, 0.452, 1.267, 2.282, 92.321, 3.55
-0.471, 0.464, 1.059, 5.496, 5.885, 15.023
-0.349, 0.548, 1.037, 20.168, 1.496, 11.183
0.103, 0.494, 1.18, 8.74, 6.275, -2.71
0.081, 0.443, 1.221, 8.947, 6.626, -1.015
0.382, 0.733, 0.657, -43.87, 4.718, -23.053
0.277, 0.489, 1.079, -48.168, 72.611, 90.756
0.442, 0.509, 0.317, 42.969, -57.038, 63.939
0.078, 1.04, 0.677, 30.305, 36.237, 68.756
-0.344, 0.838, 1.606, -14.206, -78.939, 114.763
0.248, 0.332, 1.293, 97.275, 65.221, 128.321
0.206, 0.233, 1.266, 27.832, -14.061, -83.031
0.134, 0.467, 1.106, 25.725, 9.466, 117.534
0.192, 0.422, 1.111, 8.26, 53.321, 114.237
0.244, 0.158, 1.277, 26.672, 28.137, 75.802
0.222, 0.521, 1.088, 3.321, 43.977, 84.626
0.159, 0.555, 1.108, 58.435, 118.198, 101.252
